close_price,pre_close,trades,trade_count,start_pos,end_pos,turnover,commission,slippage,trading_pnl,holding_pnl,total_pnl,net_pnl,balance,return,highlevel,drawdown,ddpercent
3655.2,1.0,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0
3659.0,3655.2,[],0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,1000000.0,0.0,0.0
3735.4,3659.0,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='1', tradeid='1', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=3707.0, volume=1, datetime=datetime.datetime(2023, 1, 5, 9, 50, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",1,0,1,1112100.0,33.363,60.0,8520.000000000027,0.0,8520.000000000027,8426.637000000028,1008426.637,0.008391331095805034,1008426.637,0.0,0.0
3751.8,3735.4,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='2', tradeid='2', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=3743.0, volume=1, datetime=datetime.datetime(2023, 1, 6, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='3', tradeid='3', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=3743.0, volume=1, datetime=datetime.datetime(2023, 1, 6, 14, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='4', tradeid='4', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=3750.8, volume=1, datetime=datetime.datetime(2023, 1, 6, 14, 50, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='5', tradeid='5', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=3750.8, volume=1, datetime=datetime.datetime(2023, 1, 6, 14, 50, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",4,1,1,4496280.0,134.8884,240.0,-4680.000000000109,4920.000000000027,239.99999999991815,-134.88840000008184,1008291.7485999999,-0.00013377018939709785,1008426.637,-134.8884000000544,-0.01337612425642961
3772.6,3751.8,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='6', tradeid='6', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=3773.6, volume=1, datetime=datetime.datetime(2023, 1, 9, 13, 25, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='7', tradeid='7', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=3773.6, volume=1, datetime=datetime.datetime(2023, 1, 9, 13, 25, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='8', tradeid='8', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=3779.4, volume=1, datetime=datetime.datetime(2023, 1, 9, 14, 30, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='9', tradeid='9', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=3779.4, volume=1, datetime=datetime.datetime(2023, 1, 9, 14, 30, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",4,1,1,4531800.0,135.95399999999998,240.0,-3480.000000000109,6239.999999999918,2759.999999999809,2384.045999999809,1010675.7945999998,0.002361649761128718,1010675.7945999998,0.0,0.0
3779.0,3772.6,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='10', tradeid='10', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=3774.8, volume=1, datetime=datetime.datetime(2023, 1, 10, 10, 50, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='11', tradeid='11', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=3774.8, volume=1, datetime=datetime.datetime(2023, 1, 10, 10, 50, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='12', tradeid='12', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=3779.2, volume=1, datetime=datetime.datetime(2023, 1, 10, 13, 15, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='13', tradeid='13', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=3779.2, volume=1, datetime=datetime.datetime(2023, 1, 10, 13, 15, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",4,1,1,4532400.0,135.97199999999998,240.0,-2639.9999999997817,1920.0000000000273,-719.9999999997544,-1095.9719999997544,1009579.8226,-0.0010849836012659035,1010675.7945999998,-1095.9719999998342,-0.10843952193725907
3778.2,3779.0,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='14', tradeid='14', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=3777.2, volume=1, datetime=datetime.datetime(2023, 1, 11, 9, 42, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='15', tradeid='15', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=3777.2, volume=1, datetime=datetime.datetime(2023, 1, 11, 9, 42, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='16', tradeid='16', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=3791.8, volume=1, datetime=datetime.datetime(2023, 1, 11, 10, 10, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='17', tradeid='17', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=3791.8, volume=1, datetime=datetime.datetime(2023, 1, 11, 10, 10, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='18', tradeid='18', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=3793.8, volume=1, datetime=datetime.datetime(2023, 1, 11, 13, 25, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='19', tradeid='19', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=3793.8, volume=1, datetime=datetime.datetime(2023, 1, 11, 13, 25, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",6,1,-1,6817680.0,204.5304,360.0,600.0,-240.00000000005457,359.99999999994543,-204.53040000005456,1009375.2921999999,-0.0002026101513603572,1010675.7945999998,-1300.5023999998812,-0.12867651594590604
3785.6,3778.2,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='20', tradeid='20', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=3796.0, volume=1, datetime=datetime.datetime(2023, 1, 12, 10, 5, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='21', tradeid='21', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=3796.0, volume=1, datetime=datetime.datetime(2023, 1, 12, 10, 5, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='22', tradeid='22', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=3783.8, volume=1, datetime=datetime.datetime(2023, 1, 12, 11, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='23', tradeid='23', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=3783.8, volume=1, datetime=datetime.datetime(2023, 1, 12, 11, 0, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='24', tradeid='24', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=3790.2, volume=1, datetime=datetime.datetime(2023, 1, 12, 14, 7, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='25', tradeid='25', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=3790.2, volume=1, datetime=datetime.datetime(2023, 1, 12, 14, 7, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",6,-1,1,6822000.0,204.65999999999997,360.0,-10079.999999999836,-2220.0000000000273,-12299.999999999864,-12864.659999999863,996510.6322000001,-0.012827086757715206,1010675.7945999998,-14165.162399999681,-1.4015535422618781
3851.8,3785.6,[],0,1,1,0.0,0.0,0.0,0.0,19860.00000000008,19860.00000000008,19860.00000000008,1016370.6322000001,0.019733547949845016,1016370.6322000001,0.0,0.0
3910.6,3851.8,"[TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='26', tradeid='26', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=3851.8, volume=1, datetime=datetime.datetime(2023, 1, 16, 9, 30, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='27', tradeid='27', direction=<Direction.LONG: 'Long'>, offset=<Offset.OPEN: 'Open'>, price=3860.2, volume=1, datetime=datetime.datetime(2023, 1, 16, 9, 35, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='28', tradeid='28', direction=<Direction.SHORT: 'Short'>, offset=<Offset.CLOSE: 'Close'>, price=3919.4, volume=1, datetime=datetime.datetime(2023, 1, 16, 14, 5, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='29', tradeid='29', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=3919.4, volume=1, datetime=datetime.datetime(2023, 1, 16, 14, 5, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='30', tradeid='30', direction=<Direction.LONG: 'Long'>, offset=<Offset.CLOSE: 'Close'>, price=3920.4, volume=1, datetime=datetime.datetime(2023, 1, 16, 14, 10, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai'))), TradeData(gateway_name='BACKTESTING', extra=None, symbol='IF888', exchange=<Exchange.CFFEX: 'CFFEX'>, orderid='31', tradeid='31', direction=<Direction.SHORT: 'Short'>, offset=<Offset.OPEN: 'Open'>, price=3919.8, volume=1, datetime=datetime.datetime(2023, 1, 16, 14, 15, tzinfo=zoneinfo.ZoneInfo(key='Asia/Shanghai')))]",6,1,-1,7017300.0,210.51899999999998,360.0,2580.0000000002437,17639.99999999992,20220.000000000164,19649.481000000163,1036020.1132000004,0.019148479827510927,1036020.1132000004,0.0,0.0
